,Unnamed: 0,id,date,text,STANCE,OPINION,POL
10,11,5cb78ca4884ce419f5ec6688,Tue Apr 09 14:12:25 +0000 2019,"Irrespective of any party or alliance comes at centre after the elections then why not select Raghuram Rajan as the prime ministerial candidate\n\nIn India we say 'Ram Rajya' for the ultimate of good governance, and his name itself says about his positivity\n\n#LokSabhaElections2019 https://t.co/gS66DRiSud",0,1,0
11,12,5cb78ca4884ce419f5ec66fa,Wed Apr 17 19:50:10 +0000 2019,"Karnataka CM HD Kumaraswamy in Shivamogga:These ppl(BJP) say even if I bathe 20 times a day my black buffalo colour will not go.Yes,I'm not like your Modi who comes out every morning after waxing his face.I love to live with poor ppl&amp;I don't wash hands after touching poor.(17.04) https://t.co/qhxNnM7FcC",2,1,2
12,13,5cb78ca4884ce419f5ec6726,Wed Apr 17 20:19:05 +0000 2019,"The change has begun. parties who really care for tamils might not win big in this election. But their vote shares are going to surprise everyone for sure. Youngsters are very clear - they want a new era, they want good people in politics ! #LokSabhaElections2019 #TNElection2019",0,1,0
13,14,5cb78ca4884ce419f5ec6783,Wed Apr 17 15:22:55 +0000 2019,"Hello Indian journalists, let me fix this for you. This is not a bloody Digvijay versus Pragya thakur war. This is about the ruling party fielding an alleged terrorist booked under UAPA for being the key accuded in two blasts killing close to a hundred muslims. https://t.co/zN83ITCfy2",0,1,0
14,15,5cb78ca4884ce419f5ec6805,Wed Apr 17 17:35:05 +0000 2019,"TN vote tomorrow against fascism. Vote for Anitha but also vote for Asifa . Vote for every social injustice including lynching because we have created changes, we have started revolutions, let us stand for akhlaq, pehlu Khan &amp; everyone who were denied justice. Our vote matters",0,1,0
15,16,5cb78ca4884ce419f5ec6850,Tue Apr 16 05:56:49 +0000 2019,"Coward @mamataofficial goons, scared of BJP, removing BJP flags in Kolkata Uttar constituency. \n\nIts no more just a TMC Vs BJP fight, \nits TMC Vs the common man. \nFight for your self respect, for democracy! \n\nFight against Mamata goons to end this blot on Bengal's future. https://t.co/0vRdv9Sg1X",0,1,0
16,17,5cb78e11884ce419f5ec6916,Wed Apr 17 19:36:56 +0000 2019,"#London: Vijay Mallya failed to convince a UK High Court to dismiss Indian banks attempt to recover dues from his London bank account. Court ruled, an interim debt order in favour of SBI and other banks seeking access to funds in the ICICI UK bank account should remain in force. https://t.co/BPKx5G2QET",0,1,0
17,18,5cb7978d884ce419f5ec6cec,Wed Apr 17 12:06:48 +0000 2019,Thackeray brothers have been  playing ping pong with @narendramodi for years now. Raj started out as a Modi fan and then fell out as nothing concrete was offered and BJP went with Sena in 2014. Despite tall claims Raj has zero political equity in Mah #LokSabhaElections2019,1,1,1
18,19,5cb7a420884ce419f5ec70ad,Mon Apr 15 09:47:50 +0000 2019,"2004 was a mistake. Let us not repeat it. Voting % in cities &amp; towns decreased &amp; hence Atal ji could not get re-elected  as the Prime Minister of India.\nIt was not Atal jis loss. It was Bharats loss\nThis time, let us vote in large numbers! Modi ji's victory is Bharats Victory https://t.co/hdIJHnsv6z",1,1,1
19,20,5cb7aed9884ce419f5ec7309,Wed Apr 17 06:05:57 +0000 2019,"Raj Thackeray has started using videos, news clippings &amp; fact checking to take on BJP during his rallies.Most of his punchlines now are followed by 'dakhav re zara' as everyone then looks towards the projector. Audio visual has a greater impact says MNS https://t.co/Wefv0j6W8Q",1,1,1
20,21,5cb7b745884ce419f5ec751f,Wed Apr 17 15:04:16 +0000 2019,"Most of the 1st time voters would not know how pathetic India was between 1996 &amp; 1998. \n\nBJP became the largest single party in 1996 but didn't get full majority. So to keep communalsaway, shoddy coalitions were stitched and as a result there PMs changed frequently. \n\nCont'd..",0,1,0
21,22,5cb7be92884ce419f5ec773e,Wed Apr 17 04:38:02 +0000 2019,"TMC MLA from Chakdaha, Ratna G Kar: This time, it's even more challenging, but theres nothing to be scared. Ill go to each&amp;every booth &amp; we won't care about central forces, if they're pro-active, I'll request Mahila Morcha members to pick up broomsticks &amp; chase them away.(15.4) https://t.co/Mh8WwtHAve",0,1,0
22,23,5cb7c395884ce419f5ec7944,Thu Apr 18 00:23:44 +0000 2019,#LokSabhaElections2019 every citizen to vote for your best leader. It's your responsible ilty to choose the right and most appropriate leader who can do the best for this country. I request each and every one to start early and cast your most valuable vote. God bless you,0,1,0
23,24,5cb7c51e884ce419f5ec7a06,Thu Apr 18 00:30:15 +0000 2019,The time has come to exercise one of your most important civic duties as a citizen of this illustrious country.Ensure to go out and execute your fundamental right to vote today.Lets all celebrate and preserve this democracy that our country had fought for. #LokSabhaElections2019,0,1,0
24,25,5cb7d4f6884ce419f5ec8909,Thu Apr 18 01:37:52 +0000 2019,"The Day Is Here #LokSabhaElections2019 Everyone Do Caste Your Vote Without Fail And Make Sure Your Vote Doesn't Go in VainDo Vote For The Right Person For A Better IndiaPeople Without Voter ID Can Also Vote Through Aadhaar Card,Pan Card, Driving License or Any Other Proof!",0,1,0
25,26,5cb7d966884ce419f5ec946a,Wed Apr 17 08:26:59 +0000 2019,"#WATCH Punjab Minister Navjot Singh Sidhu in Ahmedabad, Gujarat: Arrey Narendra Modi yeh rashtrabhakti hai tumhari ki pet khali hai aur yoga karaya ja raha hai, Baba Ramdev hi bana do sabko. Pet khali hai yoga karaya ja raha hai aur jeb khali hai khaata khulvaya ja raha hai. https://t.co/RoIdbamkwN",2,1,2
26,27,5cb7d9b1884ce419f5ec9551,Thu Apr 18 01:58:02 +0000 2019,"The change has begun. parties who really care for tamils might not win big in this election. But their #vote shares are going to surprise everyone for sure. Youngsters are very clear - they want a new era, they want good people in politics ! #LokSabhaElections2019 #TNElection2019",0,1,0
27,28,5cb7e02d884ce419f5eca90f,Wed Apr 17 14:56:37 +0000 2019,Agree/Disagree with her opinions but no one can deny the extreme torture Sadhvi Pragya went through.. that can never be corrected.. Today she has an opportunity to democratically fight the same forces.\nI hope she maintains her calm and goes through the process with strength.,1,1,1
28,29,5cb7e02d884ce419f5ecae9e,Thu Apr 18 02:24:54 +0000 2019,"#LokSabhaElections2019\nVoting is your right\nNever waste\nChoose the leaders who are all interested to service  people without any gain Find the great leader kindly vote for them Don't go blindly by father said, mother said, relative said et\ngo with what your heart said\nKindly VOTE",0,1,0
29,30,5cb7e208884ce426eafd0928,Thu Apr 18 02:32:23 +0000 2019,#EveryVoteForModi MODI IS FAILED POLITICIAN LIVE WITH FAKE FACE..ALL BJP AND RSS CHOWKIDARS USING FAKE TWITTER IDS AND USING BOTS TO MAKE TRENDING ..AFTER ELECTIONS ..MODI BALLON WILL BURST ..CONGRESS WILL WIN RAHUL GANDHI WILL TEACH ORIGINAL LESSONS TO FAKE POLITICIANS,2,1,2
30,31,5cb7e20b884ce426eafd0938,Thu Apr 18 02:32:24 +0000 2019,"The meaning of abysmal?\nBJP's moral standard. #SadhviPragya \nIf you think that the extremists of your religion won't bite you back in your ass, you have learned nothing from the Middle East or Pakistan. They wanted to spread Islam to its glory, ended up killing most of their own.",1,1,1
31,32,5cb7e21d884ce426eafd098c,Wed Apr 17 12:42:14 +0000 2019,50 Lac people have lost their jobs since DeMo\n \nUnemployment is highest among 20-24 yrs\n\n9.1 million jobs are lost in rural India\n\n1.9 million jobs are lost in urban India\n\nWomen are affected worse\n\nRemember when u vote that Modi celebrated this after a year.\n\n#NyayForUnemployed,2,1,2
32,33,5cb7e2e9884ce426eafd0d0b,Wed Apr 17 12:44:06 +0000 2019,"BJP has declared the candidature of #SadhviPragya from Bhopal!A welcome decision as she symbolises the fighting spirit of a woman,the courage for braving unspeakable torture for victory of truth and above all our relentless struggle to free democracy from crass Vote Bank politics https://t.co/xLLzNvEA9T",1,1,1
33,34,5cb7e2ee884ce426eafd0d3f,Thu Apr 18 02:33:59 +0000 2019,"#IndiaBoleModiDobara\nBecause of the fast pace of poverty alleviation that took place in the last 5 years. Jan Dhan Yojana, the biggest financial inclusion initiative in the world started by Modi govt. has connected almost every household with the formal banking system. \nvia NaMo",1,1,1
34,35,5cb7e32a884ce426eafd0e7f,Thu Apr 18 02:34:25 +0000 2019,For those of you who don't have booth slips. There will be party workers outside the polling booth with voter lists. Check your serial number and then go in to vote. Long queues are forming due to polling officials not being able to find the serial number. #LokSabhaElections2019,0,1,0
35,36,5cb7e34a884ce426eafd0f0b,Thu Apr 18 02:34:38 +0000 2019,"#IndiaBoleModiDobara\nA sturdy foundation has been laid by Modi govt with the thrust given to the infrastructure sector in the last 5 years. Mapping the nook and corners with the road, rail &amp; air routes has enhanced connectivity &amp; led to economic prosperity for the people .",1,1,1
36,37,5cb7e3a3884ce426eafd10ec,Wed Apr 17 14:49:16 +0000 2019,One good strategic turn deserves another and mark this.. It will be the biggest impact point.. @NarendraModi make sure you campaign in Ayodhya &amp; make sure before the campaign you visit Ram Lalla in his tent... Dont have to make any promises... just offer flowers.. #SadhviPragya,1,1,1
37,38,5cb7e3d3884ce426eafd11f0,Thu Apr 18 01:56:29 +0000 2019,"If you want HUNGER,ILLITERACY,POVERTY,UNEMPLOYMENT,DISCRIMINATION with WOMEN back,mega scams,reckless lending of tax payers monies,then,SAY NO TO BJP. Otherwise, SAY YES TO BJP ONLY as they treat this country their OWN &amp; work for EVERYBODY/LANDS DEVELOPMENT.  #SayNoToBJP",2,1,2
38,39,5cb7e3e8884ce426eafd1271,Thu Apr 18 02:36:04 +0000 2019,"#EveryVoteForModi choose we want such leaders who hug killer Bazwa and want to divide our society on the name of castes and creed or to those who want SABKA SAATH SABKA VIKAAS... your one vote can decide future of our nation  please vote for Modi \n\n""Sushilkumar Shinde"" https://t.co/f9jlXPLIwh",1,1,1
39,40,5cb7e403884ce426eafd1314,Thu Apr 18 01:58:26 +0000 2019,"My thread on the Rakshasi theory of ""Hindu Terror"". Typical game of Victim Shaming fabricated by Demonic elements in Congress party whose speech scripts seem dictated by ISI. To save our civilization, the role model for every Hindu has to be, the most venerable Guru Gobind Singh https://t.co/iLR8C0s5nE",1,1,1
40,41,5cb7e410884ce426eafd1369,Wed Apr 17 11:14:44 +0000 2019,"It was very easy for him just to act , earn money, focus on his family &amp; look after his earnings ! He chose to be different. Becoz he has come up the hard way! He knows the pain of the poor peopel . Hence he chose diff path .why not then #Prakashraj4Parliament ? https://t.co/UMWZNbwJZ9",0,1,0
41,42,5cb7e53e884ce426eafd1952,Wed Apr 17 12:32:56 +0000 2019,"While terrorists are feed biryani for yrs #SadhviPragya was tortured to such an extend that her lower body was paralyzed, she was even forced to watch porn with male cops &amp; what not, if this is the secularism u wanna vouch for thn plz shove it down ur arse, am happy being a bigot",1,1,1
42,43,5cb7e5ba884ce426eafd1bb4,Wed Apr 17 07:27:27 +0000 2019,Surprised about #SadhviPragya joining BJP ?\nBJP has always given terrorists tickets like those who broke down the Babri Masjid ..\nIn fact had BJP been formed in '48- they would have given a ticket to Nathuram Godse!\nEven Hafiz Saeed contested just like #SadhviPragya will here,2,1,2
43,44,5cb7e62a884ce426eafd1e10,Wed Apr 17 07:19:56 +0000 2019,"What is Modi?\nAsk a poor mother who has seen electricity, cooking gas first time after 7 decades of independence, who has got life insurance of 1 lakh Rs &amp; free medical treatment of upto 5 lakh Rs,own house &amp; toilet.\nYou will get this reply\n#BharatKaJunoon\n#IndiaBoleModiDobara https://t.co/f549btmcb0",1,1,1
44,45,5cb7e663884ce426eafd1f3c,Wed Apr 17 13:07:19 +0000 2019,"I met two educated fools who felt they don't think their voting is going to make any difference, hence are not going to vote. No talking helping these closed headed duffer's. Proves our education does not gaurantee intelligence and age is not a criteria for maturity. #VoteMaaDi",0,1,0
45,46,5cb7ee47884ce428070a89ad,Thu Apr 18 02:37:06 +0000 2019,"If it was some other actor, you'd have seen them wearing suits and coolers and carry their 'star image' to cast their vote. But it is #Vijay. The actor known for his simplicity, became one among the common people, waits in the queue and casts his vote. #OruViralPuratchi https://t.co/609w2WFQ4a",0,1,0
46,47,5cb7efba884ce428070a914b,Thu Apr 18 01:13:36 +0000 2019,IAS Mohd. Mohsin got suspended for searching Modi's helicopter.\n\nHe should consider himself lucky because IAS Pradeep Sharma who caught Modi snooping on a lady is behind bars for years and IPS Sanjiv Bhatt who took on Modi for 2002 massacre is behind bars too!,2,0,0
47,48,5cb7f25b884ce428c376c46a,Thu Apr 18 03:42:46 +0000 2019,"@muglikar_ @MSTrulyHisGrace ""Terror Accused"" is the buzz word they will float the most - The same gang which was hired to spread ""Hindu Terror"" narrative\n\nthe other one is its not ""Morally"" right\n\nOn bail Sonia &amp; Rahul is fine but acquitted #Sadhv",0,0,0
48,49,5cb7f25e884ce428c376c476,Thu Apr 18 03:39:10 +0000 2019,"My humble appeal to all fellow Indians, pls vote for a\n\nParty that puts nation's interest before its own\n\nParty that cares for all and not for one Parivaar\n\nParty that will fight corruption and not indulge in it\n\nVote for @BJP4India\nVote for @narendramodi ji\n#EveryVoteForModi",1,1,1
49,50,5cb7f2c9884ce428c376c567,Thu Apr 18 03:42:09 +0000 2019,"This Man Don't Have Hands So He Was Inked On His Foot..\n\nStill He Voted And Proudly Said 'I Did'.\n\nThis Is Spirit Of Democracy.\n\nToday Is 2nd Phase Of Voting Plz Vote, If You Have Any Complaints Vote For That, If You Are Happy Vote For That, But Plz Vote.\n\n#LokSabhaElections2019 https://t.co/CNYwDUCOPQ",0,1,0
50,51,5cb7f585884ce428c376cddd,Wed Apr 17 06:23:40 +0000 2019,Earlier i was in favour of Congress-AAP alliance but now i think it's better for Congress to fight alone. AAP with it's political immaturity and impatience has lost all the credibility amongst the voters. There are NO die hard AAP supporters out there. #JanaNayakanRahulGandhi,0,1,0
51,52,5cb7f65e884ce428c376d2d3,Wed Apr 17 16:14:49 +0000 2019,"An innocent woman went through severe third degree torture only because some powerful people with vested interest tried to build a dark, dangerous narrative. Ironically, she will now take those same people head on in an electoral battle. Now, let the people decide!!   !! https://t.co/zL6fnnQHZH",1,1,1
52,53,5cb7f70f884ce428c376d651,Thu Apr 18 03:57:22 +0000 2019,#SadhviPragya 's unspeakable torture..\nMumbai ATS beat her with leather belts\nWas kept without food for days\nGiven electric shocks\nWas Forced to watch pornographic stuff\nHer spine was broken&amp;was denied treatment\nLiberals kept quiet bcoz she was a HINDU Sadhvi &amp; not a terrorist https://t.co/AGCPQnED9W,1,1,1
53,54,5cb7f724884ce428c376d6c7,Thu Apr 18 02:51:36 +0000 2019,"#EveryVoteForModi\nThe every vote you cast for the lotus reaches @narendramodi Ji. Come , vote in large . Bring your family &amp; neighbors with you. Ensure all your friends&amp; family voted. Your 5 years future on your finger tip.5 minutes decides the 5 years.Think wise &amp; twice\n#JaiHind https://t.co/kolJw7l6hF",1,1,1
54,55,5cb7f74c884ce428c376d79c,Thu Apr 18 03:03:04 +0000 2019,"Dear Indian Voters,\nI have fulfilled my commitment to my nation India despite all odds , please fulfill yours .Don't sit at home to enjoy holiday but come out of your homes as our nation needs our vote today.Please do cast your vote today without any excuse .\n#VoteKar \n#VoteKaro https://t.co/4YUke2BBlE",2,1,2
55,56,5cb7f787884ce428c376d8bf,Thu Apr 18 02:47:07 +0000 2019,@SwamiGeetika I'm a Hindu from TN and I'll not vote for BJP  since they are against Muslims &amp; Christians. There's a diff between being a Hindu &amp; HindutvaThe biggest threat to my people is not Muslims or Christians but the SanghisThose who choose H,2,1,2
56,57,5cb7f797884ce428c376d8ff,Wed Apr 17 12:29:56 +0000 2019,For those who ask why we need to Vote for @ikamalhaasan here are 10 reasons to prove he is the one and only one \n\n1# honesty \nUntil this second he was never once framed for corruption ... a regular tax payer..... For those who ask about party funding\n\n#,0,1,0
57,58,5cb7f7df884ce428c376da42,Wed Apr 17 23:38:19 +0000 2019,"@IndiaToday @sardesairajdeep Wah Rajdeep ji 2day u were behaving like as if u were the judge &amp; jury urself by repeatedly &amp; passionately saying that #SadhviPragya is Terror accused! Since Congress doesnt want 2 come on record 2 save Hindu votes,you",1,1,1
58,59,5cb7f872884ce428c376dcdc,Thu Apr 18 03:59:07 +0000 2019,"#EveryVoteForModi\nMy humble appeal to all fellow Indians, pls vote for a\n\nParty that puts nation's interest before its own\n\nParty that cares for all and not for one Parivaar\n\nParty that will fight corruption and not indulge in it\n\nVote for @BJP4India\nVote for @narendramodi ji https://t.co/3eXGInrKo7",0,1,0
59,60,5cb7f996884ce428c376e2f6,Thu Apr 18 04:00:47 +0000 2019,"To everyone saying, NIA gave #PragyaThakur a clean chit in the Malegaon 2008 blast &amp; hence it's ok for her to join the BJP, here are the main allegations against her, based on which the court framed charges against her last year &amp; she is facing trial now. \nhttps://t.co/8nYw587jZV",0,1,0
60,61,5cb7f9ca884ce428c376e3c7,Wed Apr 17 11:54:28 +0000 2019,"Sadhvi Pragya will contest against Digvijay Singh\n\nWhat Goes Around Comes Around.\n\nDo you Remember How Digvijay Singh sat in front of her &amp; laughed in jail, When she was tortured ??\n\nThis is the victory for Hindus, Hinduism, Hindutva and Hindustan.\n\n#SadhviVsDigvijaya https://t.co/NSLysIbZAJ",1,1,1
61,62,5cb7fa3a884ce428c376e5e8,Thu Apr 18 04:01:35 +0000 2019,"#IndiaBoleModiDobara\nBecause of the fast pace of poverty alleviation that took place in the last 5years.Jan Dhan Yojana,the biggest financial inclusion initiative in the world started by Modi govt.has connected almost every household with the formal banking system. \nvia NaMo App",1,1,1
62,63,5cb7fb97884ce428c376ed1d,Thu Apr 18 04:02:03 +0000 2019,"When you vote today, remember that you vote for Nyay.\n\nNyay for our unemployed youth; for our struggling farmers; for the small traders whose businesses were destroyed by Demonetisation; for those who were persecuted because of their caste or religion. \n\n#VoteNyayVoteCongress https://t.co/VvEZPPX5b8",2,1,2
63,64,5cb7fc9f884ce428c376f2ca,Wed Apr 17 08:46:12 +0000 2019,"O' Hindus Let us welcome and appreciate the Brave Hindu Iconic Saint Sadhvi Pragya.\nLet we the Hindus Rise &amp; Unite to vote for BJP, and Discard Congress and its Goons.\nRemember if CONgress can do this to a Sadhvi, Congress can do the same to Hindus too.\n\n #indiabolemodidobara https://t.co/qk8oyswnBD",1,1,1
64,65,5cb7fcb1884ce428c376f313,Wed Apr 17 09:09:33 +0000 2019,"Ola Driver in Raipur:  Ma'am have you played PubG? \nMe:  What's that? \nOD:  didn't you say you are a reporter? . \n(Moving on)  \nOD: My only problem with Modi ji is why is he banning #TikTok. Matlab, air strike, surgical strike, space strike is ok but why do TikTok strike?",2,1,2
65,66,5cb7fdcf884ce428c376f8c6,Thu Apr 18 03:52:25 +0000 2019,#GoVoteTN My dad could not vote as his name was not there.\nBut happy we could give 4 votes. \nNow at 12.30 PM will head to airport to take Indigo flight at 2.45 to Kolkatta \nMy postponing was worth it \nAwaiting for the D Day of May 23 to see my King taking over the throne again https://t.co/qpaWe8IjiT,0,1,0
66,67,5cb7fdf4884ce428c376f96e,Thu Apr 18 04:07:02 +0000 2019,"#IndiaBoleModiDobara\nA sturdy foundation has been laid by Modi govt with the thrust given to the infrastructure sector in the last5 years.Mapping the nook and corners with the road,rail&amp;air routes has enhanced connectivity&amp;led to economic prosperity for the people of the country.",1,1,1
67,68,5cb7fe5e884ce428c376fbd4,Thu Apr 18 04:01:11 +0000 2019,"There's no doubt that @ikamalhaasan will reboot the Democracy,Humanity &amp; Honesty that TamizhNadu has lost\n\nWith #MakkalNeedhiMaiam-The Game Changer,facing off it's first elections\n\nThis will be the beginning of the end of undemocratic rule\n\nBe the Torchbearer &amp; opt for change https://t.co/MI7Jtq1pwX",0,1,0
68,69,5cb7fef6884ce428c376ff05,Thu Apr 18 01:51:53 +0000 2019,"The party changed the LIVES of the people ensuring FOOD,EDUCATION that too technical producing one million engineers &amp; besides over vocational streams to completely transform the country people to earn lakhs per month than meager amounts.This is BJP contribution #EveryVoteForModi",1,1,1
69,70,5cb80085884ce42c0062f3a3,Thu Apr 18 04:43:40 +0000 2019,"When you vote today, remember that you vote for Nyay.\n\nNyay for our unemployed youth; for our struggling farmers; for the small traders whose businesses were destroyed by Demonetisation; for those who were persecuted because of their caste or religion. \n\n#VoteNyayVoteCongress https://t.co/Wb1RoxxQzB",2,1,2
70,71,5cb8010f884ce42c0062f6dc,Thu Apr 18 04:20:03 +0000 2019,"Congress promises justice to all. Freedom from debt burden for farmers, education support for students, jobs for youth, income for poor, health for all, land for the homeless, simple tax for traders and businesses, a ministry for fishermen and so much more! #VoteNyayVoteCongress https://t.co/Z8JigPXfdE",2,1,2
71,72,5cb8014d884ce42c0062f83e,Thu Apr 18 04:19:37 +0000 2019,"As you vote today remember:\nBJP minister Jayant Sinha garlanded murderers\nIn Kathua BJP took out a rally in support of a child-rapist\nBJP MLA Sengar raped a girl and got her father killed\nBJP gave a ticket to Shambhulal Regar, who burnt an innocent man alive on camera.\n#GoVoteTN",2,1,2
72,73,5cb8016b884ce42c0062f8d9,Thu Apr 18 04:40:34 +0000 2019,"Dear Indians \n#EveryVoteForModi\nIf you want your nation to reach new heights,,,if you want to protect your Identity ,ur self respect &amp; dignity your own dharma..\n&amp; your hard-earned money\nRemember these scams when you go out to vote!\nThis time vote for nation &amp; not self https://t.co/vzbvAp6HfL",0,1,0
73,74,5cb80237884ce42c0062fd79,Thu Apr 18 04:46:05 +0000 2019,@narendramodi Indeed Sir!\n\nThe roadshow was a great success. I could see the enthusiasm in people and it was unparalleled! No leader in India can compete with you today in terms of the Love &amp; Respect which Common Indians shower on you. You are bless,0,1,0
74,75,5cb802db884ce42c00630106,Thu Apr 18 04:28:21 +0000 2019,"R Illayakanni, a 40yr old with mental disability casted her vote for the first time at Mylapore. Her brother R Saravanan who brought her to the booth said ""She has been very scared to vote all this time. But now we wanted to see a change in the society,"" he said. #TNElection2019 https://t.co/839VDE4p7J",0,1,0
75,76,5cb80300884ce42c006301b3,Wed Apr 17 08:42:01 +0000 2019,"Sharad Pawar: Modi Ji says 'Pawar Sahab is a good man but has family issues. His nephews are out of his hands.' I wanted to ask him what does he have to do with issues at my home? But then I realised I've my wife, daughter; son-in-law, nephews visit us, but he has no one. (15.4) https://t.co/pKoWCCjScV",0,1,0
76,77,5cb80317884ce42c0063023e,Thu Apr 18 04:47:19 +0000 2019,"My humble appeal to all fellow Indians, pls vote for a\n\nParty that puts nation's interest before its own\n\nParty that cares for all and not for one Parivaar\n\nParty that will fight corruption and not indulge in it\n\nVote for @BJP4India\nVote for @narendramodi ji\n#EveryVoteForModi https://t.co/8OQcxO3t2N",0,1,0
77,78,5cb8035a884ce42c00630387,Wed Apr 17 16:42:05 +0000 2019,"@pkmhindu @riteshadesai @Javedakhtarjadu How did you get Rajya Sabha seat? When your views are against India? UPA coined Hindu Terror, to prove it they release two of your PAK terrorist of Samjauta Express, and inhumanly tortured #SadhviPragya by Male cop",1,0,0
78,79,5cb8038c884ce42c00630465,Wed Apr 17 12:04:28 +0000 2019,"From putting the extra shampoo back into the bottle to cleaning our laptop keyboards, we use our fingers for just about anything. Why not use them to make a difference this election season and vote? Cast your vote, secure your future. #CastYourVote  #LokSabhaElections2019 https://t.co/KLqmVwRVqM",0,1,0
79,80,5cb80406884ce42c94704e89,Thu Apr 18 04:58:16 +0000 2019,A congress govt has always worked for the people and their rights\nA congress govt has always worked for development and prosperity\nA congress govt has always ensured happiness and equality for all\nA Congress govt has always delivered Nyay &amp; security for all.\n#VoteNyayVoteCongress https://t.co/zJUo1hMaWl,0,1,0
80,81,5cb80413884ce42c94704ebd,Thu Apr 18 04:55:18 +0000 2019,"I do not agree with those who say politics and Army r not enmeshed. Wat a coincidence that d FIR ws launched on a day wen 29 lakh electors frm J&amp;K will b voting. I urge them all to vote wisely for Kashmir,for India, n for their n their childrens bright future. #VoteKar N/n",0,1,0
81,83,5cb804a0884ce42c94705098,Thu Apr 18 04:58:07 +0000 2019,"@PiyushGoyal Every @BJP4India local leaders, the booth in charge, &amp; Panna Pramukh MUST ensure that voters from their area actually reached polling booth.\n\nAll the hard work done for years comes down to this voting day.\n\nThis is the day to prove th",1,1,1
82,84,5cb8050c884ce42c9470520a,Thu Apr 18 04:59:06 +0000 2019,"@Tejasvi_Surya @TVMohandasPai @rajeev_mp @KiranKS Every @BJP4India local leaders, the booth in charge, &amp; Panna Pramukh MUST ensure that voters from their area actually reached polling booth.\n\nAll the hard work done for years comes down to this votin",1,1,1
83,85,5cb8058c884ce42c947053c5,Thu Apr 18 04:59:30 +0000 2019,"When you vote today, remember that you vote for Nyay.\n\nNyay for our unemployed youth; for our struggling farmers; for the small traders whose businesses were destroyed by Demonetisation; for those who were persecuted because of their caste or religion. \n\n#VoteNyayVoteCongress https://t.co/gZnLh3Uilt",2,1,2
